Year,Geography,GeoCode,Value
2000,"",,49.91
2001,"",,50.22
2002,"",,50.03
2003,"",,49.51
2004,"",,49.17
2005,"",,48.78
2006,"",,49.33
2007,"",,49.69
2008,"",,49.47
2009,"",,51.68
2010,"",,50.28
2011,"",,49.78
2012,"",,50.54
2013,"",,50.53
2014,"",,50.05
2015,"",,51.59
2016,"",,50.68
2017,"",,49.98
2018,"",,50.41
2019,"",,50.8
2020,"",,52.54
2000,Newfoundland and Labrador,10,44.72
2000,Prince Edward Island,11,51.18
2000,Nova Scotia,12,52.07
2000,New Brunswick,13,50.13
2000,Quebec,24,51.23
2000,Ontario,35,52.75
2000,Manitoba,46,49.15
2000,Saskatchewan,47,39.21
2000,Alberta,48,41.43
2000,British Columbia,59,50.28
2000,Yukon,60,53.17
2000,Northwest Territories,61,42.06
2000,Nunavut,62,53.98
2000,Outside Canada,,87.82
2001,Newfoundland and Labrador,10,45.89
2001,Prince Edward Island,11,51.97
2001,Nova Scotia,12,51.39
2001,New Brunswick,13,49.03
2001,Quebec,24,51.42
2001,Ontario,35,52.21
2001,Manitoba,46,49.1
2001,Saskatchewan,47,41.62
2001,Alberta,48,44.36
2001,British Columbia,59,50.65
2001,Yukon,60,51.64
2001,Northwest Territories,61,41.06
2001,Nunavut,62,59.74
2001,Outside Canada,,88.59
2002,Newfoundland and Labrador,10,41.1
2002,Prince Edward Island,11,50.85
2002,Nova Scotia,12,51.77
2002,New Brunswick,13,49.72
2002,Quebec,24,51.26
2002,Ontario,35,51.13
2002,Manitoba,46,49.42
2002,Saskatchewan,47,41.8
2002,Alberta,48,46.41
2002,British Columbia,59,50.66
2002,Yukon,60,55.24
2002,Northwest Territories,61,43.59
2002,Nunavut,62,62
2002,Outside Canada,,88.38
2003,Newfoundland and Labrador,10,39.43
2003,Prince Edward Island,11,52.07
2003,Nova Scotia,12,50.49
2003,New Brunswick,13,49.82
2003,Quebec,24,51.51
2003,Ontario,35,51.6
2003,Manitoba,46,50.01
2003,Saskatchewan,47,41.02
2003,Alberta,48,42.93
2003,British Columbia,59,49.53
2003,Yukon,60,52.94
2003,Northwest Territories,61,36.52
2003,Nunavut,62,64.11
2003,Outside Canada,,89.18
2004,Newfoundland and Labrador,10,38.52
2004,Prince Edward Island,11,51.72
2004,Nova Scotia,12,50.68
2004,New Brunswick,13,49.38
2004,Quebec,24,51.34
2004,Ontario,35,51.85
2004,Manitoba,46,49.53
2004,Saskatchewan,47,39.16
2004,Alberta,48,42.17
2004,British Columbia,59,48.65
2004,Yukon,60,52.76
2004,Northwest Territories,61,33.63
2004,Nunavut,62,63.21
2004,Outside Canada,,90.02
2005,Newfoundland and Labrador,10,35.01
2005,Prince Edward Island,11,50.37
2005,Nova Scotia,12,50.69
2005,New Brunswick,13,48.71
2005,Quebec,24,51.39
2005,Ontario,35,51.96
2005,Manitoba,46,49.37
2005,Saskatchewan,47,38.22
2005,Alberta,48,41.23
2005,British Columbia,59,48.16
2005,Yukon,60,51.94
2005,Northwest Territories,61,36.52
2005,Nunavut,62,63.63
2005,Outside Canada,,91.49
2006,Newfoundland and Labrador,10,33.34
2006,Prince Edward Island,11,50.61
2006,Nova Scotia,12,51.52
2006,New Brunswick,13,48.63
2006,Quebec,24,51.45
2006,Ontario,35,52.31
2006,Manitoba,46,47.86
2006,Saskatchewan,47,40.15
2006,Alberta,48,43.37
2006,British Columbia,59,49.03
2006,Yukon,60,52.32
2006,Northwest Territories,61,39.59
2006,Nunavut,62,63.29
2006,Outside Canada,,89.48
2007,Newfoundland and Labrador,10,30.34
2007,Prince Edward Island,11,50.43
2007,Nova Scotia,12,51.48
2007,New Brunswick,13,48.89
2007,Quebec,24,51.24
2007,Ontario,35,52.96
2007,Manitoba,46,48.37
2007,Saskatchewan,47,38.83
2007,Alberta,48,45.11
2007,British Columbia,59,49.12
2007,Yukon,60,54.66
2007,Northwest Territories,61,42.99
2007,Nunavut,62,62.4
2007,Outside Canada,,89.51
